Customer_ID,Age,Loan_Type,Loan_Amount,Repayment_Status,Review,Sentiment_Score,Sentiment_Label
1,56,Auto,43001,Defaulted,"Very friendly staff, but the process took too long.",0.21875000000000003,Positive
2,69,Auto,14516,Paid,The interest rates are high compared to other banks.,0.0175,Positive
3,46,Auto,7396,Paid,"Unsatisfactory experience, I faced many issues with the application.",0.5,Positive
4,32,Business,23546,Paid,The interest rates are high compared to other banks.,0.0175,Positive
5,60,Personal,24129,Paid,The service was excellent and the loan process was smooth and fast.,0.5333333333333333,Positive
6,25,Auto,6591,Paid,Great customer support and low-interest rates.,0.8,Positive
7,38,Personal,16303,Paid,"Unsatisfactory experience, I faced many issues with the application.",0.5,Positive
8,56,Business,35561,Paid,"Terrible experience, they rejected my loan without proper reason.",-0.5,Negative
9,36,Home,11183,Defaulted,"Very friendly staff, but the process took too long.",0.21875000000000003,Positive
10,40,Auto,31572,Paid,Great customer support and low-interest rates.,0.8,Positive
11,28,Personal,39080,Paid,"Happy with the loan disbursal process, quick and easy.",0.5222222222222223,Positive
12,28,Personal,25695,Paid,The service was excellent and the loan process was smooth and fast.,0.5333333333333333,Positive
13,41,Auto,12314,Paid,Great customer support and low-interest rates.,0.8,Positive
14,53,Home,24623,Paid,"Very friendly staff, but the process took too long.",0.21875000000000003,Positive
15,57,Home,7139,Paid,Great customer support and low-interest rates.,0.8,Positive
16,41,Home,36290,Paid,"Very friendly staff, but the process took too long.",0.21875000000000003,Positive
17,20,Business,23088,Paid,"Happy with the loan disbursal process, quick and easy.",0.5222222222222223,Positive
18,39,Personal,44692,Paid,"Unsatisfactory experience, I faced many issues with the application.",0.5,Positive
19,19,Personal,38130,Paid,"Terrible experience, they rejected my loan without proper reason.",-0.5,Negative
20,41,Personal,37088,Paid,"Happy with the loan disbursal process, quick and easy.",0.5222222222222223,Positive
21,61,Business,31292,Paid,"Terrible experience, they rejected my loan without proper reason.",-0.5,Negative
22,47,Personal,25670,Paid,"Unsatisfactory experience, I faced many issues with the application.",0.5,Positive
23,55,Business,8738,Paid,Great customer support and low-interest rates.,0.8,Positive
